Iteration	Day	Players
1 	161 	9.38333333333
1 	162 	9.33333333333
1 	163 	9.28333333333
1 	164 	9.25
1 	165 	9.2
1 	166 	9.15
1 	167 	9.11666666667
1 	168 	9.06666666667
1 	169 	9.03333333333
1 	170 	8.98333333333
1 	171 	8.95
1 	172 	8.9
1 	173 	8.86666666667
1 	174 	8.81666666667
1 	175 	8.78333333333
1 	176 	8.73333333333
1 	177 	8.7
1 	178 	8.66666666667
1 	179 	8.61666666667
1 	180 	8.58333333333
1 	181 	8.55
1 	182 	8.51666666667
1 	183 	8.46666666667
1 	184 	8.43333333333
1 	185 	8.4
1 	186 	8.36666666667
1 	187 	8.33333333333
1 	188 	8.3
1 	189 	8.25
1 	190 	8.21666666667
1 	191 	8.18333333333
1 	192 	8.15
1 	193 	8.11666666667
1 	194 	8.08333333333
1 	195 	8.05
1 	196 	8.01666666667
1 	197 	7.98333333333
1 	198 	7.95
1 	199 	7.91666666667
1 	200 	7.9
1 	201 	7.86666666667
1 	202 	7.83333333333
1 	203 	7.8
1 	204 	7.76666666667
1 	205 	7.73333333333
1 	206 	7.71666666667
1 	207 	7.68333333333
1 	208 	7.65
1 	209 	7.61666666667
1 	210 	7.6
1 	211 	7.56666666667
1 	212 	7.53333333333
1 	213 	7.5
1 	214 	7.48333333333
1 	215 	7.45
1 	216 	7.43333333333
1 	217 	7.4
1 	218 	7.36666666667
1 	219 	7.35
1 	220 	7.31666666667
1 	221 	7.28333333333
1 	222 	7.26666666667
1 	223 	7.23333333333
1 	224 	7.21666666667
1 	225 	7.18333333333
1 	226 	7.16666666667
1 	227 	7.13333333333
1 	228 	7.11666666667
1 	229 	7.08333333333
1 	230 	7.06666666667
1 	231 	7.03333333333
1 	232 	7.01666666667
1 	233 	7.0
1 	234 	6.96666666667
1 	235 	6.95
1 	236 	6.91666666667
1 	237 	6.9
1 	238 	6.88333333333
1 	239 	6.85
1 	240 	6.83333333333
1 	241 	6.8
1 	242 	6.78333333333
1 	243 	6.76666666667
1 	244 	6.73333333333
1 	245 	6.71666666667
1 	246 	6.7
1 	247 	6.68333333333
1 	248 	6.65
1 	249 	6.63333333333
1 	250 	6.61666666667
1 	251 	6.58333333333
1 	252 	6.56666666667
1 	253 	6.55
1 	254 	6.53333333333
1 	255 	6.51666666667
1 	256 	6.48333333333
1 	257 	6.46666666667
1 	258 	6.45
1 	259 	6.43333333333
1 	260 	6.41666666667
1 	261 	6.38333333333
1 	262 	6.36666666667
1 	263 	6.35
1 	264 	6.33333333333
1 	265 	6.31666666667
1 	266 	6.3
1 	267 	6.28333333333
1 	268 	6.25
1 	269 	6.23333333333
1 	270 	6.21666666667
1 	271 	6.2
1 	272 	6.18333333333
1 	273 	6.16666666667
1 	274 	6.15
1 	275 	6.13333333333
1 	276 	6.11666666667
1 	277 	6.1
1 	278 	6.08333333333
1 	279 	6.06666666667
1 	280 	6.05
1 	281 	6.03333333333
1 	282 	6.01666666667
1 	283 	6.0
1 	284 	5.98333333333
1 	285 	5.96666666667
1 	286 	5.95
1 	287 	5.93333333333
1 	288 	5.91666666667
1 	289 	5.9
1 	290 	5.88333333333
1 	291 	5.86666666667
1 	292 	5.85
1 	293 	5.83333333333
1 	294 	5.81666666667
1 	295 	5.8
1 	296 	5.78333333333
1 	297 	5.76666666667
1 	298 	5.75
1 	299 	5.73333333333
1 	300 	5.71666666667
1 	301 	5.71666666667
1 	302 	5.7
1 	303 	5.68333333333
1 	304 	5.66666666667
1 	305 	5.65
1 	306 	5.63333333333
1 	307 	5.61666666667
1 	308 	5.6
1 	309 	5.6
1 	310 	5.58333333333
1 	311 	5.56666666667
1 	312 	5.55
1 	313 	5.53333333333
1 	314 	5.51666666667
1 	315 	5.51666666667
1 	316 	5.5
1 	317 	5.48333333333
1 	318 	5.46666666667
1 	319 	5.45
1 	320 	5.43333333333
1 	321 	5.43333333333
1 	322 	5.41666666667
1 	323 	5.4
1 	324 	5.38333333333
1 	325 	5.36666666667
1 	326 	5.36666666667
1 	327 	5.35
1 	328 	5.33333333333
1 	329 	5.31666666667
1 	330 	5.31666666667
1 	331 	5.3
1 	332 	5.28333333333
1 	333 	5.26666666667
1 	334 	5.26666666667
1 	335 	5.25
1 	336 	5.23333333333
1 	337 	5.21666666667
1 	338 	5.21666666667
1 	339 	5.2
1 	340 	5.18333333333
1 	341 	5.16666666667
1 	342 	5.16666666667
1 	343 	5.15
1 	344 	5.13333333333
1 	345 	5.13333333333
1 	346 	5.11666666667
1 	347 	5.1
1 	348 	5.1
1 	349 	5.08333333333
1 	350 	5.06666666667
1 	351 	5.05
1 	352 	5.05
1 	353 	5.03333333333
1 	354 	5.01666666667
1 	355 	5.01666666667
1 	356 	5.0
1 	357 	4.98333333333
