ID	HighScore	NoOfUsersWithHighScore	NoOfReadsinPuzzle	NoOfUsableReadsinPuzzle	UserPercentDifferntToBWA	MeanPercentOfReadsDifferent	NoOfReadsinPuzzleCovALT	UserPercentDifferntToBWACovALT	MeanPercentOfReadsDifferentCovALT
180	963	2	20	20	100	85.0	2	0	0
181	960	1	20	20	100	100.0	0	0	0
182	1454	1	20	20	100	5.0	7	0	0
183	1605	3	20	20	100	5.0	6	100	16.0
184	1539	2	20	20	100	15.0	5	100	20.0
185	1604	3	20	20	100	10.0	6	100	33.0
186	1620	11	20	20	0	0	11	0	0
187	1605	2	20	20	100	5.0	10	100	10.0
188	1581	7	20	20	100	5.0	10	100	10.0
189	1596	8	20	20	0	0	8	0	0
190	1620	18	20	20	0	0	10	0	0
191	1620	6	20	20	0	0	5	0	0
192	1620	12	20	20	0	0	4	0	0
193	1620	6	20	20	0	0	6	0	0
194	1620	12	20	20	0	0	9	0	0
195	1620	8	20	20	0	0	7	0	0
196	1612	11	20	20	0	0	7	0	0
197	1585	6	20	20	0	0	5	0	0
198	1492	4	20	20	0	0	5	0	0
199	1277	7	20	20	0	0	8	0	0
200	815	1	20	18	100	44.0	2	0	0
201	738	1	20	20	100	100.0	0	0	0
202	665	4	20	20	0	0	0	0	0
203	695	1	20	20	100	10.0	0	0	0
204	743	1	20	20	100	85.0	0	0	0
205	751	1	20	20	100	90.0	0	0	0
206	90	5	2	2	100	100.0	0	0	0
207	580	3	20	20	100	100.0	0	0	0
208	563	1	20	20	100	100.0	0	0	0
209	539	1	20	20	100	100.0	0	0	0
210	587	3	20	20	100	100.0	0	0	0
211	606	1	20	20	100	60.0	0	0	0
212	862	4	20	20	0	0	0	0	0
213	1004	6	20	20	100	90.0	9	100	100.0
214	1154	3	20	20	100	20.0	4	100	25.0
215	1392	7	20	20	0	0	5	0	0
216	1478	9	20	20	0	0	5	0	0
217	1540	7	20	20	0	0	2	0	0
218	1710	11	20	20	0	0	4	0	0
219	1756	5	20	20	0	0	6	0	0
220	1510	6	20	20	0	0	8	0	0
221	1702	2	20	20	100	5.0	12	100	8.0
222	1772	12	20	20	0	0	5	0	0
223	1773	3	20	20	100	5.0	6	100	16.0
224	1748	8	20	20	0	0	8	0	0
225	1705	1	20	20	100	5.0	9	100	11.0
226	1772	6	20	20	0	0	7	0	0
227	1780	9	20	20	0	0	6	0	0
228	1772	5	20	20	0	0	2	0	0
229	1764	10	20	20	0	0	4	0	0
230	1772	13	20	20	0	0	3	0	0
231	1772	7	20	20	0	0	7	0	0
232	1766	4	20	20	100	5.0	6	100	16.0
233	1749	6	20	20	100	5.0	5	100	20.0
234	1767	4	20	20	100	10.0	6	100	33.0
235	1780	8	20	20	0	0	4	0	0
236	1757	15	20	20	100	5.0	7	100	14.0
237	1734	2	20	20	100	5.0	6	100	16.0
238	1772	8	20	20	0	0	11	0	0
239	1780	11	20	20	0	0	6	0	0
240	1748	9	20	20	0	0	7	0	0
241	1780	15	20	20	0	0	1	0	0
242	1732	5	20	20	0	0	8	0	0
243	1772	15	20	20	0	0	2	0	0
244	1780	10	20	20	0	0	8	0	0
