ID	HighScore	NoOfUsersWithHighScore	NoOfReadsinPuzzle	NoOfUsableReadsinPuzzle	UserPercentDifferntToBWA	MeanPercentOfReadsDifferent	NoOfReadsinPuzzleCovALT	UserPercentDifferntToBWACovALT	MeanPercentOfReadsDifferentCovALT
2554	1640	7	20	20	100	100.0	4	100	100.0
2555	1633	5	20	20	100	100.0	8	100	100.0
2556	1601	3	20	20	100	100.0	10	100	100.0
2557	1632	3	20	20	100	100.0	5	100	100.0
2558	1486	3	20	20	100	93.33333333333333	9	100	84.33333333333333
2559	1609	5	20	20	100	100.0	7	100	100.0
2560	1542	3	20	18	100	100.0	6	100	100.0
2561	1640	4	20	20	100	100.0	5	100	100.0
2562	1632	2	20	20	100	95.0	6	100	83.0
2563	1609	3	20	20	100	100.0	10	100	100.0
2564	1587	4	20	20	100	100.0	8	100	100.0
2565	1632	34	20	20	100	100.0	4	100	100.0
2566	1632	7	20	20	100	100.0	3	100	100.0
2567	1640	8	20	20	100	100.0	2	100	100.0
2568	1632	7	20	20	100	100.0	5	100	100.0
2569	1640	7	20	20	100	100.0	5	100	100.0
2570	1632	3	20	20	100	100.0	6	100	100.0
2571	1632	8	20	20	100	100.0	6	100	100.0
2572	1640	3	20	20	100	100.0	8	100	100.0
2573	1640	6	20	20	100	100.0	4	100	100.0
2574	1542	10	20	20	100	95.0	6	100	83.0
2575	1632	10	20	20	100	100.0	5	100	100.0
2576	1616	7	20	20	100	100.0	10	100	100.0
2577	1616	8	20	20	100	100.0	10	100	100.0
2578	1632	4	20	20	100	100.0	10	100	100.0
2579	1625	4	20	20	100	100.0	8	100	100.0
2580	1559	7	20	20	100	100.0	5	100	100.0
2581	1455	3	20	20	100	100.0	3	100	100.0
2582	1195	1	20	20	100	25.0	7	0	0
2583	994	4	20	20	100	100.0	0	0	0
2584	991	3	20	20	100	100.0	0	0	0
2585	994	1	20	20	100	100.0	0	0	0
2586	1000	1	20	20	100	100.0	0	0	0
2587	947	1	20	20	100	100.0	0	0	0
2588	982	1	20	20	100	100.0	0	0	0
2589	1000	1	20	20	100	100.0	0	0	0
2590	545	1	12	12	100	100.0	0	0	0
2591	870	10	20	20	0	0	17	0	0
2592	958	2	13	13	100	23.0	8	100	12.0
2593	770	1	20	16	100	12.0	12	0	0
2594	88	3	2	2	100	66.66666666666667	0	0	0
2595	646	7	15	13	0	0	10	0	0
2596	534	2	20	18	100	50.0	13	100	38.0
2597	1067	10	11	11	0	0	9	0	0
2598	503	1	20	20	100	100.0	0	0	0
2599	1090	1	20	20	100	35.0	4	0	0
2600	1970	10	20	20	100	5.0	11	100	9.0
2601	1989	14	20	20	92	19.615384615384617	17	92	16.53846153846154
2602	2014	3	20	20	66	12.5	11	66	22.5
2603	1961	3	20	20	100	90.0	10	100	80.0
2604	1063	11	15	15	100	38.72727272727273	14	100	40.72727272727273
2605	817	1	20	20	100	100.0	0	0	0
2606	817	3	20	20	100	100.0	0	0	0
2607	793	4	20	20	100	5.0	0	0	0
2608	897	2	20	20	100	10.0	0	0	0
2609	1000	8	20	20	0	0	0	0	0
2610	1005	9	20	20	100	50.0	5	100	100.0
2611	1081	4	20	20	100	20.0	9	100	44.0
2612	1641	4	20	20	100	5.0	10	0	0
2613	1772	8	20	20	0	0	8	0	0
2614	1772	12	20	20	0	0	8	0	0
2615	1772	11	20	20	0	0	3	0	0
2616	1727	9	20	20	100	5.0	9	100	11.0
2617	1663	3	20	20	100	5.0	8	0	0
2618	1772	9	20	20	0	0	7	0	0
2619	1765	1	20	20	100	5.0	4	100	25.0
2620	1780	7	20	20	0	0	8	0	0
2621	1772	4	20	20	0	0	5	0	0
2622	1677	1	20	20	100	5.0	8	100	12.0
2623	1638	5	20	20	100	20.0	13	100	30.0
2624	1780	10	20	20	0	0	5	0	0
2625	1758	8	20	20	100	10.0	8	100	25.0
2626	1718	7	20	20	100	10.0	7	100	28.0
2627	1772	10	20	20	0	0	4	0	0
2628	1749	2	20	20	100	10.0	5	100	40.0
2629	1780	11	20	20	0	0	5	0	0
2630	1764	6	20	20	0	0	3	0	0
2631	1749	4	20	20	100	5.0	12	100	8.0
2632	1766	9	20	20	100	10.0	7	100	28.0
2633	1705	12	20	20	100	5.0	10	100	10.0
2634	1486	4	20	20	100	10.0	9	100	22.0
2635	1230	4	20	20	0	0	5	0	0
2636	933	3	20	20	0	0	3	0	0
2637	840	6	20	20	0	0	0	0	0
2638	807	5	20	20	100	70.0	0	0	0
2639	700	6	20	20	100	30.0	0	0	0
2640	649	2	20	20	100	17.5	0	0	0
2641	331	1	8	8	100	100.0	0	0	0
2642	521	2	20	18	100	16.0	8	0	0
2643	485	6	20	20	0	0	10	0	0
2644	48	2	1	1	100	100.0	0	0	0
2645	1131	11	20	20	0	0	14	0	0
2646	34	2	1	1	100	100.0	0	0	0
2647	1131	1	20	20	100	80.0	1	0	0
2648	1510	2	20	20	100	15.0	9	100	11.0
2649	1757	4	20	20	100	5.0	13	100	7.0
2650	1780	6	20	20	0	0	9	0	0
2651	1742	2	20	20	100	15.0	9	100	33.0
2652	1764	12	20	20	0	0	13	0	0
2653	1764	12	20	20	0	0	9	0	0
2654	1767	11	20	20	0	0	13	0	0
2655	1150	3	20	20	100	5.0	7	100	14.0
2656	1116	4	20	18	100	94.0	0	0	0
2657	630	8	11	11	100	100.0	0	0	0
2658	614	2	20	18	100	5.0	13	0	0
2659	1924	7	20	20	0	0	7	0	0
2660	702	10	20	20	0	0	13	0	0
2661	980	8	20	20	0	0	0	0	0
2662	701	4	20	20	100	10.0	0	0	0
2663	604	2	20	20	100	100.0	0	0	0
2664	90	1	3	3	100	100.0	0	0	0
2665	1382	4	20	20	100	15.0	15	0	0
2666	1932	9	20	20	0	0	16	0	0
2667	1528	6	20	20	0	0	16	0	0
2668	1394	12	20	20	0	0	12	0	0
2669	703	4	16	16	100	50.0	6	0	0
2670	388	10	20	20	0	0	14	0	0
2671	845	1	14	14	100	50.0	6	0	0
2672	254	3	15	15	100	13.0	7	0	0
2673	987	1	20	20	100	70.0	4	0	0
2674	1795	13	20	20	100	40.0	9	100	22.0
2675	1775	4	20	20	100	95.0	6	100	83.0
2676	1812	12	20	20	100	90.0	13	100	84.0
2677	1759	3	20	20	100	95.0	9	100	88.0
2678	1778	5	20	20	100	95.0	11	100	90.0
2679	1841	2	20	20	100	90.0	15	100	86.0
2680	1771	6	20	20	100	81.66666666666667	15	100	75.33333333333333
2681	1775	13	20	20	100	95.0	13	100	92.0
2682	1256	3	20	20	100	50.0	8	100	87.0
2683	603	1	16	16	100	100.0	0	0	0
2684	1054	1	20	20	100	100.0	3	100	100.0
2685	1905	6	20	20	0	0	12	0	0
2686	1916	13	20	20	0	0	12	0	0
2687	1924	12	20	20	0	0	14	0	0
2688	1783	6	20	20	0	0	17	0	0
2689	601	2	12	10	100	30.0	3	0	0
2690	795	1	20	20	100	100.0	0	0	0
2691	1027	1	20	20	100	65.0	4	0	0
2692	1589	5	20	20	100	5.0	10	100	10.0
2693	1620	12	20	20	0	0	6	0	0
2694	1489	1	19	19	100	5.0	9	100	11.0
2695	832	1	20	20	100	100.0	0	0	0
2696	813	1	20	20	100	100.0	0	0	0
2697	1292	3	20	20	0	0	11	0	0
2698	1869	13	20	18	100	64.38461538461539	7	100	53.61538461538461
2699	1992	9	20	20	100	98.88888888888889	5	100	97.77777777777777
2700	1909	4	20	20	100	88.75	10	100	82.5
2701	1992	7	20	20	100	99.28571428571429	6	100	100.0
2702	1966	2	20	20	100	100.0	11	100	100.0
2703	1968	7	20	20	100	94.28571428571429	12	100	91.0
2704	1976	12	20	20	100	84.16666666666667	8	100	85.33333333333333
2705	2000	15	20	20	100	97.66666666666667	10	100	98.66666666666667
2706	1984	12	20	20	16	5.0	9	8	11.0
2707	1285	7	20	16	28	31.0	10	28	35.0
2708	268	4	6	6	100	33.0	0	0	0
2709	859	2	20	20	100	45.0	5	100	20.0
2710	1234	16	20	20	0	0	9	0	0
2711	1787	5	20	20	100	5.0	14	100	7.0
2712	1909	5	20	20	100	5.0	12	100	8.0
2713	1924	11	20	20	0	0	13	0	0
2714	1893	3	20	20	100	5.0	13	100	7.0
2715	1692	4	20	20	100	5.0	14	100	7.0
2716	914	2	20	20	100	35.0	6	0	0
2717	38	1	1	1	100	100.0	0	0	0
2718	1146	2	20	20	100	50.0	10	0	0
2719	833	14	12	10	0	0	8	0	0
2720	1069	2	20	20	100	100.0	0	0	0
2721	1563	2	20	20	100	75.0	12	100	66.0
2722	1830	6	20	20	100	98.33333333333333	15	100	97.66666666666667
2723	1814	5	20	20	100	61.0	14	100	59.4
2724	1801	3	20	18	100	100.0	13	100	100.0
2725	1841	3	20	20	100	90.0	11	100	81.0
2726	1832	6	20	20	83	98.0	12	83	98.2
2727	1727	11	20	20	100	25.90909090909091	11	100	35.18181818181818
2728	1113	2	20	20	100	90.0	2	100	50.0
2729	58	6	1	1	100	100.0	0	0	0
2730	774	1	20	20	100	10.0	12	0	0
2731	1733	7	20	20	100	5.0	16	100	6.0
2732	1577	3	20	20	100	10.0	14	100	14.0
2733	1009	5	20	20	100	65.0	10	100	90.0
2734	172	2	4	4	100	100.0	0	0	0
2735	40	6	20	20	0	0	15	0	0
2736	1151	2	20	20	100	10.0	8	100	12.0
2737	936	1	20	20	100	90.0	2	100	100.0
2738	130	1	3	3	100	100.0	0	0	0
2739	1138	3	20	20	100	96.66666666666667	4	100	100.0
2740	1604	7	20	20	100	100.0	17	100	100.0
2741	917	8	20	20	100	50.0	8	100	62.0
2742	32	1	1	1	100	100.0	0	0	0
2743	768	1	20	20	100	55.0	0	0	0
2744	1191	1	20	18	100	77.0	10	100	80.0
2745	1930	11	20	20	100	65.0	13	100	53.0
2746	1978	6	20	20	100	60.0	15	100	60.0
2747	1944	16	20	20	100	65.0	16	100	62.0
2748	1979	6	20	20	100	65.0	14	100	71.0
2749	1883	6	20	20	100	70.0	10	100	80.0
2750	1973	1	20	20	100	60.0	6	100	66.0
2751	1948	14	20	20	100	80.0	9	100	55.0
2752	1954	11	20	20	100	75.0	16	100	68.0
2753	1984	5	20	20	100	50.0	13	100	38.0
2754	1896	1	20	18	100	55.0	13	100	53.0
2755	1552	1	20	18	100	44.0	10	100	40.0
2756	1305	4	20	20	100	65.0	9	100	66.0
2757	511	3	14	14	100	92.0	0	0	0
2758	1253	8	20	16	0	0	12	0	0
2759	699	3	11	11	100	27.0	6	0	0
2760	1917	7	20	20	100	5.0	9	100	11.0
2761	1940	10	20	20	0	0	4	0	0
2762	1868	13	20	20	0	0	9	0	0
2763	1916	9	20	20	0	0	5	0	0
2764	1918	3	20	20	100	10.0	5	100	40.0
2765	1924	7	20	20	0	0	4	0	0
2766	1804	8	20	20	100	5.0	6	100	16.0
2767	1932	13	20	20	0	0	8	0	0
2768	1925	6	20	20	100	5.0	4	100	25.0
2769	1917	5	20	20	100	5.0	5	100	20.0
2770	1789	3	20	20	100	5.0	10	100	10.0
2771	1940	10	20	20	0	0	6	0	0
2772	1932	8	20	20	0	0	4	0	0
2773	1916	11	20	20	0	0	10	0	0
2774	1940	9	20	20	0	0	7	0	0
2775	1908	13	20	20	0	0	11	0	0
2776	1898	3	20	20	100	15.0	11	100	27.0
2777	1836	6	20	20	100	5.0	12	100	8.0
2778	1557	3	20	16	0	0	4	0	0
2779	1219	3	20	20	100	15.0	7	0	0
2780	1060	7	20	20	100	100.0	6	100	100.0
2781	952	7	20	20	100	55.0	5	100	100.0
2782	624	1	20	20	100	85.0	0	0	0
2783	632	2	20	20	100	100.0	0	0	0
2784	595	1	20	16	100	100.0	0	0	0
2785	363	3	11	11	100	100.0	0	0	0
2786	757	1	20	20	100	100.0	0	0	0
2787	768	3	20	20	100	100.0	0	0	0
2788	869	1	20	20	100	100.0	0	0	0
2789	894	7	20	20	100	95.0	0	0	0
2790	1063	1	20	20	100	100.0	3	100	100.0
2791	1398	12	20	20	100	95.0	10	100	90.0
2792	1476	7	20	20	100	95.0	4	100	75.0
2793	1709	12	20	20	100	100.0	7	100	100.0
2794	1682	2	20	20	100	100.0	11	100	100.0
2795	1748	6	20	20	100	95.0	10	100	90.0
2796	1740	5	20	20	100	100.0	5	100	100.0
2797	1712	6	20	20	100	100.0	6	100	100.0
2798	1775	4	20	20	100	100.0	4	100	100.0
2799	1741	3	20	20	100	100.0	4	100	100.0
2800	1780	12	20	20	100	100.0	4	100	100.0
2801	1772	9	20	20	100	100.0	8	100	100.0
2802	1780	6	20	20	100	95.0	2	100	50.0
2803	1780	10	20	20	100	100.0	2	100	100.0
2804	1780	10	20	20	100	100.0	3	100	100.0
2805	1757	1	20	20	100	30.0	10	100	20.0
2806	1773	3	20	20	100	85.0	7	100	57.0
2807	1772	5	20	20	100	35.0	8	100	25.0
2808	1765	10	20	20	100	85.0	8	100	62.0
2809	1772	13	20	20	100	90.0	5	100	60.0
2810	1756	17	20	20	100	90.0	7	100	71.0
2811	1764	6	20	20	100	95.0	9	100	88.0
2812	1780	11	20	20	100	100.0	7	100	100.0
2813	1780	13	20	20	100	100.0	2	100	100.0
2814	1742	8	20	20	100	100.0	10	100	100.0
2815	1661	39	20	20	100	100.0	7	100	100.0
2816	1000	8	20	20	100	95.0	0	0	0
2817	976	6	20	20	100	100.0	0	0	0
2818	931	8	20	20	100	100.0	0	0	0
2819	689	6	20	20	100	100.0	0	0	0
2820	692	9	20	20	100	100.0	0	0	0
2821	638	1	20	20	100	100.0	0	0	0
2822	637	3	20	20	100	100.0	0	0	0
2823	520	1	20	20	100	100.0	0	0	0
2824	416	2	14	14	100	92.0	0	0	0
2825	640	1	20	20	100	100.0	0	0	0
2826	624	2	20	20	100	95.0	0	0	0
2827	688	1	20	20	100	100.0	4	100	100.0
2828	1160	10	20	20	100	100.0	4	100	100.0
2829	1116	1	20	20	100	100.0	2	100	100.0
2830	1121	3	20	20	100	100.0	6	100	100.0
2831	1160	7	20	20	100	100.0	9	100	100.0
2832	1145	5	20	20	100	100.0	10	100	100.0
2833	1121	1	20	20	100	100.0	10	100	100.0
2834	1153	8	20	20	100	100.0	11	100	100.0
2835	783	3	20	20	100	95.0	5	100	100.0
2836	560	14	20	20	100	100.0	0	0	0
2837	703	2	20	20	100	100.0	0	0	0
2838	148	6	4	4	100	100.0	0	0	0
2839	1384	1	20	18	100	27.0	10	100	10.0
2840	1780	9	20	20	0	0	17	0	0
2841	1756	10	20	20	0	0	14	0	0
2842	973	1	20	20	100	55.0	8	100	37.0
2843	157	1	5	5	100	80.0	0	0	0
2844	1734	3	20	20	100	10.0	12	100	16.0
2845	1716	1	20	20	0	0	13	0	0
2846	1764	9	20	20	0	0	14	0	0
2847	914	1	20	20	100	45.0	6	100	33.0
2848	742	1	20	20	100	20.0	13	0	0
2849	1067	9	20	16	0	0	10	0	0
2850	1462	6	20	20	100	56.666666666666664	16	100	58.0
2851	1992	19	20	20	89	97.05882352941177	8	89	99.23529411764706
2852	1990	15	20	20	100	16.0	10	100	21.333333333333332
2853	1958	8	20	20	100	6.875	10	100	12.5
2854	1917	13	20	20	100	5.0	10	100	10.0
2855	1667	18	20	20	100	10.555555555555555	7	100	19.5
2856	1452	8	20	20	25	5.0	5	12	20.0
2857	565	1	18	18	100	77.0	0	0	0
2858	1035	1	20	20	100	55.0	7	0	0
2859	1745	11	20	20	0	0	14	0	0
2860	1748	3	20	20	0	0	16	0	0
2861	1740	13	20	20	0	0	14	0	0
2862	1765	3	20	20	100	5.0	12	100	8.0
2863	1490	2	20	20	100	5.0	10	100	10.0
2864	440	2	11	11	100	45.0	3	0	0
2865	973	2	20	20	100	80.0	3	0	0
2866	1731	9	20	20	0	0	15	0	0
2867	1741	9	20	20	100	5.0	13	100	7.0
2868	1772	5	20	20	0	0	13	0	0
2869	1156	2	20	20	100	35.0	5	0	0
2870	150	1	3	3	100	100.0	0	0	0
2871	878	2	20	20	100	30.0	11	0	0
2872	1917	7	20	20	100	5.0	11	100	9.0
2873	1932	10	20	20	0	0	14	0	0
2874	1776	9	20	20	0	0	15	0	0
2875	538	1	12	12	100	33.0	4	0	0
2876	1527	2	20	20	100	25.0	10	0	0
2877	1917	5	20	20	100	5.0	14	100	7.0
2878	1625	12	20	20	0	0	13	0	0
2879	244	2	5	5	100	20.0	4	0	0
2880	831	4	20	20	100	100.0	0	0	0
2881	941	1	20	20	100	95.0	6	100	83.0
2882	1420	7	20	20	100	100.0	9	100	100.0
2883	1854	5	20	20	100	100.0	12	100	100.0
2884	1868	11	20	20	100	100.0	8	100	100.0
2885	1863	6	20	20	100	100.0	12	100	100.0
2886	1884	6	20	20	100	100.0	7	100	100.0
2887	1845	4	20	20	100	100.0	11	100	100.0
2888	1876	4	20	20	100	100.0	13	100	100.0
2889	1852	4	20	20	100	100.0	14	100	100.0
2890	1840	5	20	20	100	100.0	14	100	100.0
2891	1253	2	20	20	100	90.0	5	100	80.0
2892	378	1	6	6	100	100.0	0	0	0
2893	1600	12	20	20	100	80.0	9	100	55.0
2894	1492	14	20	20	100	75.0	11	100	72.0
2895	800	14	20	20	100	40.0	7	100	14.0
2896	705	11	20	20	100	35.0	15	100	33.0
2897	1292	12	20	20	100	65.0	17	100	64.0
2898	1968	5	20	20	100	95.0	15	100	93.0
2899	1074	2	20	18	100	100.0	1	100	100.0
2900	1099	1	20	20	100	100.0	0	0	0
2901	1074	1	20	20	100	100.0	0	0	0
2902	1080	3	20	20	100	100.0	0	0	0
2903	1072	1	20	20	100	100.0	0	0	0
2904	1072	3	20	20	100	100.0	0	0	0
2905	1072	1	20	20	100	100.0	0	0	0
2906	1100	1	20	20	100	100.0	0	0	0
2907	893	1	20	18	100	100.0	0	0	0
2908	1097	2	20	20	100	100.0	0	0	0
2909	1080	4	20	20	100	100.0	0	0	0
2910	432	4	8	8	100	100.0	0	0	0
2911	723	1	20	20	100	100.0	0	0	0
2912	825	2	20	20	100	100.0	0	0	0
2913	880	4	20	20	100	10.0	0	0	0
2914	974	4	20	20	100	25.0	0	0	0
2915	982	3	20	20	100	45.0	3	100	100.0
2916	1446	4	20	20	100	5.0	3	100	33.0
2917	1458	11	20	20	0	0	3	0	0
2918	1553	2	20	20	0	0	4	0	0
2919	1727	14	20	20	0	0	13	0	0
2920	1780	10	20	20	0	0	4	0	0
2921	1773	6	20	20	100	5.0	7	100	14.0
2922	1757	6	20	20	100	5.0	8	100	12.0
2923	1772	11	20	20	0	0	7	0	0
2924	1764	5	20	20	0	0	7	0	0
2925	1744	3	20	20	100	11.666666666666666	8	100	29.0
2926	1772	7	20	20	0	0	3	0	0
2927	1780	14	20	20	0	0	4	0	0
2928	1772	5	20	20	0	0	7	0	0
2929	1748	5	20	20	0	0	7	0	0
2930	1772	6	20	20	0	0	9	0	0
2931	1757	4	20	20	100	5.0	6	100	16.0
2932	1780	8	20	20	0	0	3	0	0
2933	1780	14	20	20	100	10.0	6	100	33.0
2934	1764	13	20	20	0	0	7	0	0
2935	1780	8	20	20	0	0	6	0	0
2936	1756	10	20	20	0	0	5	0	0
2937	1756	9	20	20	0	0	6	0	0
2938	1780	9	20	20	0	0	6	0	0
2939	1764	11	20	20	0	0	10	0	0
2940	1764	8	20	20	0	0	11	0	0
2941	1772	7	20	20	0	0	5	0	0
2942	1756	13	20	20	0	0	8	0	0
2943	1780	15	20	20	0	0	2	0	0
2944	1780	6	20	20	0	0	8	0	0
2945	1751	7	20	20	100	5.0	6	100	16.0
2946	1780	8	20	20	0	0	5	0	0
2947	1751	9	20	20	100	5.0	8	100	12.0
2948	1752	6	20	20	100	5.0	10	100	10.0
2949	1390	12	20	20	0	0	2	0	0
2950	1380	15	20	20	0	0	7	0	0
2951	1225	7	20	20	0	0	7	0	0
2952	969	5	20	20	100	60.0	2	0	0
2953	842	6	20	20	100	5.0	0	0	0
2954	890	5	20	20	100	15.0	0	0	0
2955	813	2	20	20	100	45.0	0	0	0
2956	786	3	20	20	100	100.0	0	0	0
2957	706	1	20	20	100	100.0	0	0	0
2958	406	2	12	12	100	91.0	0	0	0
2959	543	1	20	20	100	100.0	0	0	0
2960	644	1	20	20	100	100.0	0	0	0
2961	799	2	20	20	100	95.0	2	100	50.0
2962	1744	5	20	20	100	55.0	12	100	41.0
2963	1990	7	20	20	100	99.28571428571429	8	100	98.14285714285714
2964	1992	8	20	20	100	99.375	8	100	98.375
2965	1989	6	20	20	66	51.25	14	66	44.25
2966	1931	6	20	20	100	93.33333333333333	14	100	89.66666666666667
2967	1898	6	20	20	100	85.0	10	100	80.0
2968	1982	10	20	20	100	84.5	12	100	81.9
2969	1112	2	20	20	100	70.0	6	100	16.0
2970	862	1	20	20	100	100.0	0	0	0
2971	626	2	13	13	100	100.0	0	0	0
2972	630	2	20	20	100	100.0	1	100	100.0
2973	1857	6	20	20	100	100.0	17	100	100.0
2974	1997	12	20	20	100	97.91666666666667	14	100	96.66666666666667
2975	1998	12	20	20	100	99.58333333333333	14	100	99.33333333333333
2976	1983	5	20	20	100	94.0	15	100	91.6
2977	1883	9	20	20	100	89.44444444444444	16	100	86.33333333333333
2978	1897	8	20	20	100	87.5	13	100	80.0
2979	1953	5	20	20	100	100.0	11	100	100.0
2980	1736	4	20	20	100	100.0	10	100	100.0
2981	1547	3	20	20	100	100.0	12	100	100.0
2982	1186	2	20	20	100	95.0	10	100	90.0
2983	519	2	12	12	100	83.0	9	100	77.0
2984	1310	4	20	20	100	100.0	14	100	100.0
2985	1943	10	20	20	100	100.0	13	100	100.0
2986	1835	6	20	20	100	95.0	16	100	93.66666666666667
2987	1847	2	20	20	100	95.0	16	100	93.0
2988	1985	2	20	20	100	100.0	10	100	100.0
2989	1989	9	20	20	100	99.44444444444444	11	100	98.88888888888889
2990	1980	3	20	20	100	100.0	11	100	100.0
2991	1980	3	20	20	100	98.33333333333333	9	100	96.0
2992	1752	8	20	20	87	67.14285714285714	15	87	65.57142857142857
2993	1978	5	20	20	100	56.0	15	100	54.0
2994	1888	6	20	20	100	20.833333333333332	8	100	26.666666666666668
2995	1261	2	20	20	100	87.5	8	100	81.0
2996	999	1	19	19	100	100.0	2	100	100.0
2997	1590	2	20	20	100	25.0	10	0	0
2998	1916	9	20	20	100	10.0	14	100	7.0
2999	1916	13	20	20	100	100.0	13	100	100.0
3000	1718	3	20	20	100	100.0	17	100	100.0
3001	912	4	20	20	100	100.0	1	100	100.0
3002	1625	8	20	20	0	0	15	0	0
3003	1777	7	20	20	0	0	14	0	0
3004	360	1	10	10	100	100.0	0	0	0
3005	408	4	17	11	100	9.0	9	0	0
3006	1054	4	20	20	100	100.0	0	0	0
3007	1025	6	20	20	100	100.0	0	0	0
3008	945	2	20	20	100	100.0	0	0	0
3009	901	4	20	20	100	100.0	0	0	0
3010	1131	2	20	20	100	100.0	3	100	100.0
3011	1320	4	20	20	100	100.0	7	100	100.0
3012	1195	5	20	20	100	85.0	7	100	71.0
3013	471	3	20	18	100	61.0	0	0	0
3014	375	9	20	20	0	0	0	0	0
3015	495	1	20	18	100	66.0	0	0	0
3016	372	1	20	16	100	56.0	0	0	0
3017	595	2	20	20	100	85.0	0	0	0
3018	445	1	20	16	100	68.0	0	0	0
3019	267	8	20	18	0	0	0	0	0
3020	521	2	20	18	100	72.0	0	0	0
3021	385	1	20	20	100	55.0	0	0	0
3022	482	1	20	20	100	70.0	0	0	0
3023	480	1	14	14	100	100.0	0	0	0
3024	993	2	20	20	100	100.0	0	0	0
3025	983	2	20	20	100	60.0	2	0	0
3026	1557	8	20	20	0	0	12	0	0
3027	1902	3	20	20	100	5.0	11	100	9.0
3028	1917	8	20	20	100	5.0	10	100	10.0
3029	1925	5	20	20	100	5.0	10	100	10.0
3030	1932	4	20	20	0	0	8	0	0
3031	1916	15	20	20	0	0	10	0	0
3032	1916	12	20	20	0	0	9	0	0
3033	1917	8	20	20	100	5.0	8	100	12.0
3034	1438	7	20	20	0	0	14	0	0
3035	859	1	20	20	100	25.0	2	100	50.0
3036	126	4	4	4	100	75.0	0	0	0
3037	620	1	20	20	100	95.0	0	0	0
3038	900	2	20	20	100	100.0	0	0	0
3039	940	1	20	20	100	100.0	0	0	0
3040	896	1	20	20	100	90.0	0	0	0
3041	927	1	20	20	100	100.0	0	0	0
3042	900	2	20	20	100	100.0	0	0	0
3043	960	1	20	20	100	100.0	0	0	0
3044	952	4	20	20	100	100.0	0	0	0
3045	952	2	20	20	100	100.0	0	0	0
3046	954	1	20	20	100	100.0	0	0	0
3047	640	1	20	20	100	100.0	0	0	0
3048	960	2	20	20	100	100.0	0	0	0
3049	1003	1	20	20	100	35.0	6	0	0
3050	1079	5	20	20	100	100.0	3	100	100.0
3051	1270	5	20	20	100	100.0	4	100	100.0
3052	1300	7	20	20	100	100.0	3	100	100.0
3053	1300	6	20	20	100	100.0	4	100	100.0
3054	1236	1	20	20	100	100.0	6	100	100.0
3055	1330	6	20	20	100	100.0	3	100	100.0
3056	1475	2	20	20	100	100.0	5	100	100.0
3057	1634	6	20	20	100	100.0	4	100	100.0
3058	1755	4	20	20	100	100.0	2	100	100.0
3059	1792	3	20	20	100	100.0	4	100	100.0
3060	1758	1	20	20	100	100.0	4	100	100.0
3061	1615	1	20	20	100	100.0	16	100	100.0
3062	1779	1	20	20	100	85.0	6	100	50.0
3063	1747	3	20	20	100	100.0	4	100	100.0
3064	1767	1	20	20	100	95.0	7	100	85.0
3065	1800	7	20	20	100	100.0	4	100	100.0
3066	1760	2	20	20	100	100.0	11	100	100.0
3067	1751	4	20	20	100	100.0	8	100	100.0
3068	1784	4	20	20	100	100.0	11	100	100.0
3069	1787	1	20	20	100	100.0	5	100	100.0
3070	1800	10	20	20	100	100.0	2	100	100.0
3071	1738	2	20	20	100	100.0	3	100	100.0
3072	1784	2	20	20	100	100.0	3	100	100.0
3073	1800	5	20	20	100	100.0	3	100	100.0
3074	1784	5	20	20	100	100.0	6	100	100.0
3075	1784	3	20	20	100	100.0	3	100	100.0
3076	1792	8	20	20	100	100.0	3	100	100.0
3077	1776	6	20	20	100	100.0	6	100	100.0
3078	1792	5	20	20	100	100.0	8	100	100.0
3079	1736	9	20	20	100	100.0	12	100	100.0
3080	1638	2	20	20	100	95.0	8	100	100.0
3081	1776	2	20	20	100	100.0	10	100	100.0
3082	1792	1	20	20	100	100.0	6	100	100.0
3083	1800	14	20	20	100	100.0	3	100	100.0
3084	1776	3	20	20	100	100.0	4	100	100.0
3085	1800	2	20	20	100	100.0	7	100	100.0
3086	1792	3	20	20	100	100.0	4	100	100.0
3087	1794	4	20	20	100	95.0	6	100	83.0
3088	1784	1	20	20	100	100.0	9	100	100.0
3089	1784	2	20	20	100	100.0	12	100	100.0
3090	1784	7	20	20	100	100.0	5	100	100.0
3091	1800	3	20	20	100	100.0	7	100	100.0
3092	1792	10	20	20	100	100.0	4	100	100.0
3093	1800	2	20	20	100	100.0	1	100	100.0
3094	1744	3	20	20	100	100.0	9	100	100.0
3095	1792	2	20	20	100	100.0	4	100	100.0
3096	1792	6	20	20	100	100.0	6	100	100.0
3097	1776	5	20	20	100	100.0	6	100	100.0
3098	1792	6	20	20	100	100.0	8	100	100.0
3099	1768	1	20	20	100	100.0	5	100	100.0
3100	1772	10	20	20	0	0	9	0	0
3101	1800	6	20	20	100	100.0	6	100	100.0
3102	1784	11	20	20	100	100.0	9	100	100.0
3103	1690	1	20	20	100	100.0	7	100	100.0
3104	1792	3	20	20	100	100.0	6	100	100.0
3105	1776	2	20	20	100	95.0	6	100	83.0
3106	1779	5	20	20	100	100.0	4	100	100.0
3107	1784	3	20	20	100	100.0	2	100	100.0
3108	1807	4	20	20	100	95.0	1	100	100.0
3109	1814	4	20	20	100	90.0	4	100	75.0
3110	1729	2	20	20	100	100.0	7	100	100.0
3111	1780	8	20	20	100	5.0	1	100	100.0
3112	1787	4	20	20	100	100.0	3	100	100.0
