Datsetid	Players_total	Players_active	No.ofalignments	Empty_alignments	Maxscoreperread	Readnumber
2850	13	12	13	12	73.1	20
2851	26	25	26	25	99.6	20
2852	16	16	16	16	99.5	20
2853	11	10	11	10	97.9	20
2854	15	14	15	14	95.85	20
2855	24	15	24	19	83.35	20
2856	11	9	11	9	72.6	20
2857	13	10	13	10	31.944444444444443	18
2858	13	11	13	11	51.75	20
2859	19	15	19	15	87.25	20
2860	10	6	10	6	87.4	20
2861	19	16	19	16	87.0	20
2862	13	9	13	9	88.25	20
2863	11	5	11	6	74.5	20
2864	12	12	12	12	40.0	11
2865	14	7	14	7	48.65	20
2866	20	13	20	13	86.55	20
2867	20	17	20	17	87.05	20
2868	10	9	10	9	88.6	20
2869	13	10	13	10	57.8	20
2870	21	16	21	16	50.0	3
2871	10	9	10	9	43.9	20
2872	13	12	13	12	95.85	20
2873	16	14	16	14	96.6	20
2874	12	11	12	11	88.8	20
2875	13	7	13	7	44.833333333333336	12
2876	12	8	12	8	76.35	20
2877	8	7	8	7	95.85	20
2878	18	15	18	15	81.25	20
2879	22	17	22	17	48.8	5
2880	18	12	18	12	41.55	20
2881	14	11	14	11	47.05	20
2882	16	15	16	15	71.0	20
2883	9	8	9	8	92.7	20
2884	21	16	21	16	93.4	20
2885	15	13	15	13	93.15	20
2886	8	7	8	7	94.2	20
2887	14	11	14	11	92.25	20
2888	12	11	12	11	93.8	20
2889	11	8	11	9	92.6	20
2890	12	10	12	10	92.0	20
2891	11	10	11	10	62.65	20
2892	9	8	9	8	63.0	6
2893	15	12	15	13	80.0	20
2894	17	15	17	15	74.6	20
2895	16	15	16	16	40.0	20
2896	14	13	14	13	35.25	20
2897	15	14	15	14	64.6	20
2898	16	13	16	13	98.4	20
2899	18	11	18	11	53.7	20
2900	12	8	12	8	54.95	20
2901	12	8	12	8	53.7	20
2902	13	10	13	10	54.0	20
2903	9	5	9	5	53.6	20
2904	15	10	15	10	53.6	20
2905	11	8	11	8	53.6	20
2906	11	8	11	10	55.0	20
2907	10	8	10	8	44.65	20
2908	13	9	13	9	54.85	20
2909	17	8	17	8	54.9	20
2910	15	13	15	13	55.0	8
2911	8	6	8	6	36.15	20
2912	19	14	19	14	41.25	20
2913	13	11	13	11	44.1	20
2914	13	8	13	8	48.7	20
2915	8	6	8	6	49.1	20
2916	14	8	14	8	72.3	20
2917	23	17	23	17	72.9	20
2918	6	5	6	5	77.65	20
2919	20	16	20	16	86.4	20
2920	16	14	16	14	89.0	20
2921	15	11	15	11	88.65	20
2922	11	9	11	9	87.85	20
2923	14	13	14	13	88.6	20
2924	8	6	8	6	88.2	20
2925	14	9	14	10	87.2	20
2926	9	7	9	7	88.6	20
2927	22	16	22	16	89.0	20
2928	12	10	12	10	88.6	20
2929	12	8	12	8	87.4	20
2930	9	7	9	7	88.6	20
2931	14	9	14	9	87.85	20
2932	10	9	10	9	89.0	20
2933	21	16	21	16	89.0	20
2934	15	14	15	14	88.2	20
2935	11	10	11	10	89.0	20
2936	14	12	14	12	87.8	20
2937	13	11	13	11	87.8	20
2938	15	12	15	12	89.0	20
2939	15	12	15	12	88.2	20
2940	11	8	11	8	88.2	20
2941	10	9	10	9	88.6	20
2942	18	15	18	15	87.8	20
2943	26	19	26	21	89.0	20
2944	9	7	9	7	89.0	20
2945	12	9	12	10	87.55	20
2946	14	11	14	11	89.0	20
2947	14	11	14	11	87.55	20
2948	10	7	10	7	87.6	20
2949	15	14	15	14	69.5	20
2950	22	17	22	17	69.0	20
2951	9	7	9	7	61.25	20
2952	13	11	13	11	48.45	20
2953	14	12	14	12	42.1	20
2954	11	8	11	8	44.5	20
2955	15	13	15	13	40.65	20
2956	16	12	16	13	39.3	20
2957	7	6	7	6	36.7	20
2958	16	7	16	7	33.833333333333336	12
2959	17	10	17	10	27.15	20
2960	16	12	16	12	32.2	20
2961	11	8	11	8	39.95	20
2962	18	13	18	13	87.2	20
2963	11	10	11	10	99.5	20
2964	13	9	13	10	99.6	20
2965	14	13	14	13	99.55	20
2966	11	9	11	9	96.55	20
2967	11	9	11	9	94.9	20
2968	20	19	20	19	99.1	20
2969	17	13	17	13	55.95	20
2970	7	3	7	3	43.95	20
2971	12	10	12	10	48.15384615384615	13
2972	10	5	10	5	31.5	20
2973	15	12	15	12	92.85	20
2974	19	16	19	16	99.85	20
2975	16	16	16	16	99.9	20
2976	12	10	12	10	99.15	20
2977	16	15	16	15	94.15	20
2978	15	12	15	12	94.85	20
2979	18	16	18	16	97.65	20
2980	13	13	13	13	86.8	20
2981	7	7	7	7	77.35	20
2982	11	9	11	9	59.3	20
2983	11	8	11	8	43.25	12
2984	16	12	16	12	65.5	20
2985	17	14	17	15	97.15	20
2986	15	15	15	15	91.75	20
2987	12	9	12	9	92.35	20
2988	16	16	16	16	99.25	20
2989	16	10	16	10	99.45	20
2990	14	13	14	13	99.0	20
2991	13	10	13	10	99.0	20
2992	15	13	15	15	87.6	20
2993	15	12	15	12	98.9	20
2994	13	13	13	13	94.4	20
2995	19	17	19	17	63.05	20
2996	10	10	10	10	52.578947368421055	19
2997	15	11	15	11	79.5	20
2998	12	10	12	10	95.8	20
2999	17	15	17	15	95.8	20
3000	9	8	9	8	85.9	20
3001	17	11	17	12	45.6	20
3002	13	9	13	9	81.25	20
3003	12	10	12	10	88.85	20
3004	10	7	10	7	36.0	10
3005	18	14	18	14	24.0	17
3006	20	16	20	17	52.7	20
3007	15	12	15	12	51.25	20
3008	15	10	15	10	47.25	20
3009	18	13	18	13	45.05	20
3010	11	9	11	9	56.55	20
3011	14	13	14	13	66.0	20
3012	15	11	15	11	59.75	20
3013	12	8	12	8	23.55	20
3014	13	11	13	11	26.25	20
3015	12	7	12	7	24.75	20
3016	14	12	14	12	18.6	20
3017	15	14	15	14	29.75	20
3018	14	12	14	12	22.25	20
3019	16	11	16	11	13.35	20
3020	17	13	17	14	26.05	20
3021	24	17	24	18	19.25	20
3022	15	12	15	12	24.3	20
3023	15	8	15	9	34.285714285714285	14
3024	12	9	12	9	49.65	20
3025	9	7	9	7	49.15	20
3026	13	11	13	11	77.85	20
3027	13	12	13	12	95.1	20
3028	17	13	17	13	95.85	20
3029	12	10	12	10	96.25	20
3030	13	8	13	8	96.6	20
3031	18	16	18	16	95.8	20
3032	22	18	22	18	95.85	20
3033	10	10	10	10	95.85	20
3034	11	10	11	10	71.9	20
3035	18	14	18	14	43.1	20
3036	19	15	19	15	31.5	4
3037	11	9	11	9	32.25	20
3038	18	11	18	11	45.0	20
3039	11	4	11	4	47.0	20
3040	15	11	15	11	48.0	20
3041	13	7	13	7	46.6	20
3042	18	13	18	13	45.0	20
3043	13	10	13	10	48.0	20
3044	21	15	21	15	47.6	20
3045	10	8	10	8	47.6	20
3046	10	7	10	7	47.7	20
3047	10	7	10	7	48.0	20
3048	11	9	11	9	48.0	20
3049	12	8	12	8	50.15	20
3050	23	16	23	16	53.95	20
3051	18	15	18	15	63.5	20
3052	15	11	15	11	65.0	20
3053	21	15	21	15	65.0	20
3054	21	16	21	16	61.8	20
3055	15	13	15	13	66.5	20
3056	14	11	14	11	73.75	20
3057	20	17	20	17	81.7	20
3058	14	12	14	12	87.75	20
3059	12	11	12	11	89.6	20
3060	9	9	9	9	87.9	20
3061	12	11	12	11	80.75	20
3062	9	7	9	7	88.95	20
3063	14	10	14	10	87.35	20
3064	6	4	6	4	88.35	20
3065	15	11	15	11	90.0	20
3066	13	10	13	10	88.0	20
3067	8	6	8	6	87.55	20
3068	12	10	12	11	89.2	20
3069	8	8	8	8	89.35	20
3070	15	12	15	12	90.0	20
3071	14	14	14	14	86.9	20
3072	14	13	14	13	89.2	20
3073	20	14	20	14	90.0	20
3074	15	11	15	11	89.2	20
3075	8	8	8	8	89.2	20
3076	17	12	17	12	89.6	20
3077	18	13	18	13	88.8	20
3078	16	13	16	13	89.6	20
3079	17	14	17	14	86.8	20
3080	12	10	12	10	81.9	20
3081	13	12	13	12	88.8	20
3082	18	14	18	14	89.6	20
3083	24	19	24	24	90.0	20
3084	17	10	17	10	88.8	20
3085	8	7	8	7	90.0	20
3086	13	10	13	10	89.6	20
3087	15	11	15	11	89.7	20
3088	13	11	13	11	89.2	20
3089	12	9	12	9	89.2	20
3090	19	18	19	18	89.2	20
3091	9	6	9	6	90.0	20
3092	20	17	20	17	89.6	20
3093	13	10	13	10	90.0	20
3094	13	11	13	11	87.2	20
3095	14	11	14	12	89.6	20
