ID	HighScore	NoOfUsersWithHighScore	NoOfReadsinPuzzle	NoOfUsableReadsinPuzzle	UserPercentDifferntToBWA	MeanPercentOfReadsDifferent
343	1879	17	20	20	0	0
344	917	3	15	15	100	6.0
345	977	1	20	20	100	60.0
346	1176	12	20	20	100	10.0
347	108	12	2	2	100	100.0
348	254	2	20	18	100	11.0
349	873	6	13	13	100	53.0
350	737	2	20	20	100	62.5
351	1238	6	20	20	100	5.0
352	1890	8	20	20	0	0
353	1908	10	20	20	0	0
354	1917	15	20	20	0	0
355	1854	8	20	20	100	5.0
356	1916	14	20	20	0	0
357	1695	3	20	20	0	0
358	1112	1	20	20	100	20.0
359	640	1	20	20	100	85.0
360	112	9	3	3	100	100.0
361	809	2	20	20	100	20.0
362	1641	8	20	20	0	0
363	310	1	5	5	100	40.0
364	1111	3	20	20	100	45.0
365	1925	2	20	20	100	5.0
366	1918	5	20	20	100	10.0
367	1932	8	20	20	0	0
368	1318	2	19	19	100	36.0
369	1355	11	20	20	0	0
370	1164	10	14	14	0	0
371	208	2	20	20	100	20.0
372	1309	3	20	20	100	55.0
373	102	4	2	2	100	100.0
374	1241	1	20	20	100	15.0
375	1924	6	20	20	100	5.0
376	1932	7	20	20	0	0
377	1892	8	20	20	0	0
378	1804	5	20	20	100	5.0
379	1480	8	20	20	100	5.0
380	1035	1	20	20	100	5.0
381	450	1	10	10	100	100.0
382	437	2	20	20	100	50.0
383	631	7	20	18	0	0
384	202	1	4	4	100	50.0
385	1274	13	20	20	0	0
386	1916	8	20	20	0	0
387	1836	6	20	20	0	0
388	705	1	15	13	100	69.0
389	1256	3	20	20	100	65.0
390	490	6	6	6	100	60.5
391	890	2	20	20	100	57.5
392	1452	13	20	20	0	0
393	1761	12	20	20	100	70.0
394	1967	3	20	20	100	70.0
395	1954	14	20	20	100	77.5
396	1969	6	20	20	100	99.16666666666667
397	1992	9	20	20	100	61.666666666666664
398	1982	4	20	20	100	68.75
399	1984	6	20	20	50	35.0
400	1945	22	20	20	40	30.0
401	1407	16	20	20	18	30.0
402	857	1	20	20	100	75.0
403	560	11	14	14	100	100.0
404	165	3	20	20	100	15.0
405	1831	8	20	20	100	95.0
406	1790	11	20	20	100	100.0
407	1810	7	20	20	100	75.0
408	1367	7	16	16	100	87.0
409	551	7	20	14	0	0
410	100	1	4	2	100	50.0
411	1052	2	20	20	100	100.0
412	1448	6	20	20	100	40.0
413	1726	5	20	20	100	10.0
414	1749	6	20	20	100	5.0
415	1386	2	20	20	100	50.0
416	275	1	5	5	100	100.0
417	1278	3	20	20	100	36.666666666666664
418	1908	9	20	20	0	0
419	1419	9	20	20	0	0
420	803	1	17	17	100	100.0
421	941	1	20	20	100	100.0
422	1700	8	20	20	100	100.0
423	1752	7	20	20	100	100.0
424	1776	8	20	20	100	100.0
425	1775	8	20	20	100	95.0
426	1319	2	20	20	100	15.0
427	257	2	7	7	100	100.0
428	464	6	20	18	100	33.0
429	291	25	3	3	0	0
430	822	2	20	20	100	20.0
431	1924	12	20	20	0	0
432	1932	6	20	20	0	0
433	1884	7	20	20	0	0
434	1730	10	20	20	0	0
435	757	3	17	17	0	0
436	474	10	20	20	100	5.0
437	1357	19	20	20	100	25.0
438	1883	10	20	18	100	55.0
439	1741	11	20	18	100	66.0
440	1287	11	20	20	100	40.0
441	781	3	20	20	100	15.0
442	703	3	16	16	100	45.333333333333336
443	1588	1	20	20	100	5.0
444	1916	14	20	20	100	40.0
445	1940	13	20	20	100	90.0
446	1939	4	20	20	100	90.0
447	1815	6	20	20	100	90.0
448	1954	9	20	20	100	99.44444444444444
449	1950	15	20	20	86	100.0
450	1942	6	20	20	100	84.16666666666667
451	1938	7	20	20	100	41.42857142857143
452	1289	5	20	20	100	30.0
453	834	7	20	20	100	5.0
454	143	1	5	5	100	20.0
455	1118	7	20	20	0	0
456	486	13	6	6	0	0
457	359	2	15	11	100	36.0
458	820	1	20	20	100	100.0
459	745	1	20	20	100	60.0
460	819	4	20	20	100	90.0
461	872	2	20	20	100	60.0
462	890	2	20	20	100	50.0
463	1155	1	20	20	100	30.0
464	1353	7	20	20	0	0
465	1509	9	20	20	0	0
466	1677	2	20	20	100	5.0
467	1775	10	20	20	100	5.0
468	1765	4	20	20	100	5.0
469	1586	2	20	20	100	5.0
470	1731	1	20	20	100	5.0
471	1757	6	20	20	100	10.0
472	1611	2	20	20	100	10.0
473	1743	6	20	20	100	5.0
474	1652	9	20	20	100	5.0
475	1486	4	20	20	100	10.0
476	1706	7	20	20	100	10.0
477	1726	11	20	20	0	0
478	1780	13	20	20	0	0
479	1780	8	20	20	0	0
480	1780	15	20	20	0	0
481	1780	11	20	20	0	0
482	1767	17	20	20	100	5.0
483	1770	8	20	20	0	0
484	1318	4	20	20	0	0
485	1020	6	20	20	0	0
486	914	8	20	20	100	5.0
487	950	8	20	20	0	0
488	952	7	20	20	0	0
489	744	1	20	18	100	22.0
490	639	1	16	16	100	100.0
491	1140	2	20	20	100	10.0
492	1932	13	20	20	0	0
493	667	2	8	8	100	12.0
494	1500	4	20	20	100	5.0
495	1683	8	20	20	0	0
496	675	8	10	10	100	50.0
497	1082	3	20	20	100	5.0
498	1724	3	20	20	100	10.0
499	1772	7	20	20	0	0
500	1693	8	20	20	0	0
501	680	3	13	13	100	100.0
502	1158	5	20	20	100	25.0
503	1715	11	20	20	0	0
504	1914	6	20	20	0	0
505	800	1	15	15	100	66.0
506	1341	1	20	20	100	100.0
507	1780	10	20	20	100	100.0
508	1764	9	20	20	100	100.0
509	1780	14	20	20	100	100.0
510	1335	10	20	20	100	65.0
511	1098	2	20	20	100	50.0
512	212	2	4	4	100	100.0
513	674	3	20	20	100	38.333333333333336
514	1468	4	20	20	75	45.0
515	285	1	7	7	100	42.0
516	1077	1	20	20	100	55.0
517	1803	13	20	20	0	0
518	1647	5	20	20	100	25.0
519	1072	4	20	20	100	85.0
520	558	2	20	18	100	5.0
521	464	6	6	6	100	16.0
522	887	1	20	20	100	80.0
523	1697	10	20	20	0	0
524	1505	13	20	20	0	0
525	1025	2	20	20	100	5.0
526	336	4	8	8	100	100.0
527	1138	1	20	20	100	70.0
528	1729	9	20	20	0	0
529	1753	7	20	20	100	85.0
530	1114	5	13	13	100	100.0
531	1241	3	20	20	100	20.0
532	1893	6	20	20	100	5.0
533	1924	16	20	20	0	0
534	1650	8	20	20	0	0
535	508	1	15	15	100	46.0
536	862	3	20	20	100	65.0
537	1665	12	20	20	0	0
538	1864	11	20	20	0	0
539	1835	16	20	20	0	0
540	1932	12	20	20	0	0
541	1044	3	19	19	100	26.0
542	1673	1	20	20	100	90.0
543	1700	5	20	20	100	65.0
544	1420	5	20	20	100	10.0
545	264	3	7	7	100	100.0
546	1675	11	20	20	0	0
547	1424	8	20	20	0	0
548	1481	5	20	20	100	5.0
549	521	2	13	13	100	30.0
550	1440	3	20	20	100	20.0
551	1764	15	20	20	0	0
552	890	8	17	17	0	0
553	1164	1	20	20	100	100.0
554	1180	2	20	20	100	100.0
555	1116	1	20	20	100	100.0
556	1190	6	20	20	100	90.0
557	1997	11	20	20	100	100.0
558	1987	9	20	20	100	100.0
559	1899	7	20	20	100	100.0
560	1960	2	20	20	100	100.0
561	1700	14	20	20	100	68.92857142857143
562	1884	7	20	20	100	95.0
563	1967	8	20	20	100	36.25
564	1995	6	20	20	33	5.0
565	1979	10	20	20	10	5.0
566	1652	3	20	18	100	11.0
567	1417	4	20	20	100	87.5
568	1260	5	20	20	100	100.0
569	1252	5	20	20	100	100.0
570	742	1	15	11	100	100.0
571	1452	12	17	17	100	11.0
572	1067	2	20	20	100	100.0
573	1112	1	20	20	100	90.0
574	1588	7	20	20	100	5.0
575	1940	16	20	20	0	0
576	1925	2	20	20	100	5.0
577	1577	5	20	20	100	5.0
578	1084	2	20	20	100	5.0
579	539	1	13	13	100	23.0
580	920	3	20	20	100	31.666666666666668
581	1386	11	20	20	0	0
582	1701	4	20	20	100	6.25
583	1749	4	20	20	100	5.0
