sessionDurationBucket	userType	sessions
216	New Visitor	20
231	Returning Visitor	20
232	New Visitor	20
248	Returning Visitor	20
260	New Visitor	20
263	New Visitor	20
267	New Visitor	20
267	Returning Visitor	20
312	New Visitor	20
321	New Visitor	20
324	New Visitor	20
326	New Visitor	20
328	New Visitor	20
343	Returning Visitor	20
356	Returning Visitor	20
373	New Visitor	20
376	New Visitor	20
386	New Visitor	20
388	New Visitor	20
405	New Visitor	20
410	New Visitor	20
440	New Visitor	20
441	New Visitor	20
449	New Visitor	20
460	New Visitor	20
47	New Visitor	20
53	New Visitor	20
64	Returning Visitor	20
101	New Visitor	19
103	Returning Visitor	19
110	Returning Visitor	19
139	Returning Visitor	19
140	Returning Visitor	19
162	Returning Visitor	19
167	Returning Visitor	19
183	Returning Visitor	19
223	New Visitor	19
239	New Visitor	19
258	New Visitor	19
265	New Visitor	19
276	Returning Visitor	19
281	New Visitor	19
283	New Visitor	19
286	New Visitor	19
287	Returning Visitor	19
295	New Visitor	19
309	New Visitor	19
309	Returning Visitor	19
315	Returning Visitor	19
319	New Visitor	19
320	New Visitor	19
321	Returning Visitor	19
322	Returning Visitor	19
329	New Visitor	19
330	New Visitor	19
331	New Visitor	19
336	New Visitor	19
350	New Visitor	19
355	Returning Visitor	19
358	New Visitor	19
361	New Visitor	19
362	New Visitor	19
367	New Visitor	19
370	New Visitor	19
381	New Visitor	19
385	New Visitor	19
398	Returning Visitor	19
411	Returning Visitor	19
418	New Visitor	19
42	New Visitor	19
420	New Visitor	19
428	New Visitor	19
436	New Visitor	19
446	New Visitor	19
458	New Visitor	19
481	New Visitor	19
484	New Visitor	19
49	New Visitor	19
496	New Visitor	19
497	New Visitor	19
511	Returning Visitor	19
52	New Visitor	19
54	New Visitor	19
554	New Visitor	19
559	Returning Visitor	19
56	New Visitor	19
57	New Visitor	19
589	Returning Visitor	19
603	New Visitor	19
617	New Visitor	19
676	New Visitor	19
677	New Visitor	19
74	Returning Visitor	19
75	Returning Visitor	19
89	Returning Visitor	19
890	Returning Visitor	19
116	Returning Visitor	18
136	Returning Visitor	18
144	Returning Visitor	18
161	Returning Visitor	18
179	New Visitor	18
190	New Visitor	18
206	New Visitor	18
222	New Visitor	18
227	New Visitor	18
229	New Visitor	18
234	New Visitor	18
235	New Visitor	18
237	New Visitor	18
242	New Visitor	18
247	New Visitor	18
253	Returning Visitor	18
256	New Visitor	18
281	Returning Visitor	18
285	New Visitor	18
291	New Visitor	18
302	New Visitor	18
308	Returning Visitor	18
312	Returning Visitor	18
326	Returning Visitor	18
339	Returning Visitor	18
341	New Visitor	18
343	New Visitor	18
354	New Visitor	18
355	New Visitor	18
362	Returning Visitor	18
369	Returning Visitor	18
371	New Visitor	18
379	New Visitor	18
384	Returning Visitor	18
395	New Visitor	18
396	Returning Visitor	18
399	New Visitor	18
419	New Visitor	18
425	New Visitor	18
468	New Visitor	18
471	New Visitor	18
490	Returning Visitor	18
507	New Visitor	18
514	Returning Visitor	18
548	Returning Visitor	18
566	New Visitor	18
567	Returning Visitor	18
571	New Visitor	18
629	New Visitor	18
690	Returning Visitor	18
70	Returning Visitor	18
76	Returning Visitor	18
79	Returning Visitor	18
80	Returning Visitor	18
96	Returning Visitor	18
100	Returning Visitor	17
1013	Returning Visitor	17
109	Returning Visitor	17
111	Returning Visitor	17
1145	Returning Visitor	17
118	Returning Visitor	17
127	New Visitor	17
134	Returning Visitor	17
146	New Visitor	17
154	Returning Visitor	17
170	Returning Visitor	17
171	New Visitor	17
185	New Visitor	17
195	New Visitor	17
202	Returning Visitor	17
218	New Visitor	17
218	Returning Visitor	17
219	Returning Visitor	17
221	Returning Visitor	17
225	New Visitor	17
226	New Visitor	17
235	Returning Visitor	17
240	New Visitor	17
247	Returning Visitor	17
256	Returning Visitor	17
257	New Visitor	17
266	Returning Visitor	17
270	Returning Visitor	17
284	New Visitor	17
288	New Visitor	17
292	New Visitor	17
292	Returning Visitor	17
299	Returning Visitor	17
300	New Visitor	17
311	New Visitor	17
327	Returning Visitor	17
339	New Visitor	17
353	New Visitor	17
357	Returning Visitor	17
359	Returning Visitor	17
367	Returning Visitor	17
368	Returning Visitor	17
375	New Visitor	17
376	Returning Visitor	17
380	New Visitor	17
382	New Visitor	17
389	New Visitor	17
396	New Visitor	17
397	New Visitor	17
398	New Visitor	17
401	New Visitor	17
404	New Visitor	17
407	New Visitor	17
408	New Visitor	17
412	New Visitor	17
429	New Visitor	17
431	New Visitor	17
432	New Visitor	17
441	Returning Visitor	17
448	New Visitor	17
457	New Visitor	17
467	New Visitor	17
493	New Visitor	17
51	New Visitor	17
528	New Visitor	17
530	New Visitor	17
561	Returning Visitor	17
58	New Visitor	17
614	New Visitor	17
675	New Visitor	17
678	Returning Visitor	17
721	Returning Visitor	17
86	Returning Visitor	17
935	Returning Visitor	17
99	Returning Visitor	17
121	Returning Visitor	16
128	Returning Visitor	16
142	Returning Visitor	16
159	Returning Visitor	16
160	Returning Visitor	16
181	New Visitor	16
181	Returning Visitor	16
192	Returning Visitor	16
194	New Visitor	16
197	Returning Visitor	16
201	Returning Visitor	16
204	Returning Visitor	16
212	Returning Visitor	16
219	New Visitor	16
220	New Visitor	16
228	New Visitor	16
231	New Visitor	16
