date	userType	sessions	users	sessionDuration	avgSessionDuration
20140202	New Visitor	29	29	22726.0	783.6551724137931
20140203	New Visitor	29	29	14259.0	491.6896551724138
20140204	New Visitor	21	21	15364.0	731.6190476190476
20140205	New Visitor	23	23	16134.0	701.4782608695652
20140206	New Visitor	28	28	13758.0	491.35714285714283
20140207	New Visitor	29	29	15817.0	545.4137931034483
20140208	New Visitor	13	13	4559.0	350.6923076923077
20140209	New Visitor	13	13	14212.0	1093.2307692307693
20140210	New Visitor	18	18	19009.0	1056.0555555555557
20140211	New Visitor	15	15	19332.0	1288.8
20140212	New Visitor	20	20	11755.0	587.75
20140213	New Visitor	22	22	24114.0	1096.090909090909
20140214	New Visitor	19	19	6381.0	335.8421052631579
20140215	New Visitor	14	14	17025.0	1216.0714285714287
20140216	New Visitor	21	21	19689.0	937.5714285714286
20140217	New Visitor	20	20	8419.0	420.95
20140218	New Visitor	9	9	4681.0	520.1111111111111
20140219	New Visitor	14	14	6273.0	448.07142857142856
20140220	New Visitor	14	14	6270.0	447.85714285714283
20140221	New Visitor	16	16	10364.0	647.75
20140222	New Visitor	12	12	4279.0	356.5833333333333
20140223	New Visitor	12	12	4703.0	391.9166666666667
20140224	New Visitor	14	14	7104.0	507.42857142857144
20140225	New Visitor	9	9	10148.0	1127.5555555555557
20140226	New Visitor	7	7	2199.0	314.14285714285717
20140227	New Visitor	12	12	5917.0	493.0833333333333
20140228	New Visitor	17	17	20007.0	1176.8823529411766
20140301	New Visitor	13	13	8663.0	666.3846153846154
20140302	New Visitor	11	11	6666.0	606.0
20140303	New Visitor	14	14	11652.0	832.2857142857143
20140304	New Visitor	19	19	12759.0	671.5263157894736
20140305	New Visitor	15	15	10099.0	673.2666666666667
20140306	New Visitor	18	18	8790.0	488.3333333333333
20140307	New Visitor	13	13	20692.0	1591.6923076923076
20140308	New Visitor	16	16	4641.0	290.0625
20140309	New Visitor	21	21	7986.0	380.2857142857143
20140310	New Visitor	13	13	7640.0	587.6923076923077
20140311	New Visitor	32	32	45865.0	1433.28125
20140312	New Visitor	19	19	4630.0	243.68421052631578
20140313	New Visitor	25	25	16115.0	644.6
20140314	New Visitor	27	27	18464.0	683.8518518518518
20140315	New Visitor	19	19	17336.0	912.421052631579
20140316	New Visitor	17	17	23091.0	1358.2941176470588
20140317	New Visitor	13	13	1585.0	121.92307692307692
20140318	New Visitor	14	14	5634.0	402.42857142857144
20140319	New Visitor	23	23	7496.0	325.9130434782609
20140320	New Visitor	11	11	8197.0	745.1818181818181
20140321	New Visitor	16	16	9970.0	623.125
20140322	New Visitor	7	7	1922.0	274.57142857142856
20140323	New Visitor	10	10	16748.0	1674.8
20140324	New Visitor	15	15	9785.0	652.3333333333334
20140325	New Visitor	11	11	11554.0	1050.3636363636363
20140326	New Visitor	16	16	10786.0	674.125
20140327	New Visitor	11	11	4455.0	405.0
20140328	New Visitor	14	14	18641.0	1331.5
20140329	New Visitor	3	3	2105.0	701.6666666666666
20140330	New Visitor	7	7	1906.0	272.2857142857143
20140331	New Visitor	7	7	3514.0	502.0
20140401	New Visitor	10	10	2964.0	296.4
20140402	New Visitor	11	11	7484.0	680.3636363636364
20140403	New Visitor	15	15	2475.0	165.0
20140404	New Visitor	13	13	7311.0	562.3846153846154
20140405	New Visitor	8	8	2569.0	321.125
20140406	New Visitor	5	5	7910.0	1582.0
20140407	New Visitor	12	12	7291.0	607.5833333333334
20140408	New Visitor	11	11	7429.0	675.3636363636364
20140409	New Visitor	13	13	15624.0	1201.8461538461538
20140410	New Visitor	8	8	12396.0	1549.5
20140411	New Visitor	14	14	17615.0	1258.2142857142858
20140412	New Visitor	7	7	9650.0	1378.5714285714287
20140413	New Visitor	11	11	9942.0	903.8181818181819
20140414	New Visitor	8	8	3182.0	397.75
20140415	New Visitor	3	3	2163.0	721.0
20140416	New Visitor	8	8	2478.0	309.75
20140417	New Visitor	8	8	7247.0	905.875
20140418	New Visitor	7	7	3392.0	484.57142857142856
20140419	New Visitor	7	7	5324.0	760.5714285714286
20140420	New Visitor	5	5	8423.0	1684.6
20140421	New Visitor	7	7	5999.0	857.0
20140422	New Visitor	10	10	8650.0	865.0
20140423	New Visitor	12	12	3697.0	308.0833333333333
20140424	New Visitor	7	7	775.0	110.71428571428571
20140425	New Visitor	14	14	19373.0	1383.7857142857142
20140426	New Visitor	10	10	15927.0	1592.7
20140427	New Visitor	11	11	7038.0	639.8181818181819
20140428	New Visitor	8	8	1090.0	136.25
20140429	New Visitor	7	7	815.0	116.42857142857143
20140430	New Visitor	8	8	4497.0	562.125
20140501	New Visitor	11	11	10209.0	928.0909090909091
20140502	New Visitor	11	11	7316.0	665.0909090909091
20140503	New Visitor	5	5	4956.0	991.2
20140504	New Visitor	4	4	5264.0	1316.0
20140505	New Visitor	13	13	5861.0	450.84615384615387
20140506	New Visitor	6	6	6882.0	1147.0
20140507	New Visitor	6	6	5987.0	997.8333333333334
20140508	New Visitor	14	14	11753.0	839.5
20140509	New Visitor	6	6	4017.0	669.5
20140510	New Visitor	11	11	17810.0	1619.090909090909
20140511	New Visitor	5	5	5569.0	1113.8
20140512	New Visitor	7	7	3260.0	465.7142857142857
20140513	New Visitor	4	4	2761.0	690.25
20140514	New Visitor	10	10	8539.0	853.9
20140515	New Visitor	4	4	2559.0	639.75
20140516	New Visitor	6	6	3058.0	509.6666666666667
20140517	New Visitor	8	8	7013.0	876.625
20140518	New Visitor	7	7	2872.0	410.2857142857143
20140519	New Visitor	7	7	1633.0	233.28571428571428
20140520	New Visitor	5	5	7370.0	1474.0
20140521	New Visitor	7	7	1502.0	214.57142857142858
20140522	New Visitor	8	8	5004.0	625.5
20140523	New Visitor	13	13	7185.0	552.6923076923077
20140524	New Visitor	6	6	6432.0	1072.0
20140525	New Visitor	2	2	4491.0	2245.5
20140526	New Visitor	10	10	6467.0	646.7
20140527	New Visitor	11	11	8043.0	731.1818181818181
20140528	New Visitor	7	7	5462.0	780.2857142857143
20140529	New Visitor	10	10	4000.0	400.0
20140530	New Visitor	8	8	7690.0	961.25
20140531	New Visitor	6	6	4940.0	823.3333333333334
20140601	New Visitor	5	5	1750.0	350.0
20140602	New Visitor	5	5	9429.0	1885.8
20140603	New Visitor	7	7	5052.0	721.7142857142857
20140604	New Visitor	8	8	1040.0	130.0
20140605	New Visitor	9	9	9969.0	1107.6666666666667
20140606	New Visitor	7	7	4561.0	651.5714285714286
20140607	New Visitor	7	7	6725.0	960.7142857142857
20140608	New Visitor	9	9	13320.0	1480.0
20140609	New Visitor	2	2	1006.0	503.0
20140610	New Visitor	11	11	14066.0	1278.7272727272727
20140611	New Visitor	10	10	11083.0	1108.3
20140612	New Visitor	7	7	2735.0	390.7142857142857
20140613	New Visitor	5	5	1573.0	314.6
20140614	New Visitor	3	3	121.0	40.333333333333336
20140615	New Visitor	8	8	6767.0	845.875
20140616	New Visitor	4	4	1493.0	373.25
20140617	New Visitor	14	14	16021.0	1144.357142857143
20140618	New Visitor	10	10	4528.0	452.8
20140619	New Visitor	11	11	10171.0	924.6363636363636
20140620	New Visitor	7	7	4716.0	673.7142857142857
20140621	New Visitor	8	8	2212.0	276.5
20140622	New Visitor	10	10	4821.0	482.1
20140623	New Visitor	11	11	6409.0	582.6363636363636
20140624	New Visitor	8	8	3043.0	380.375
20140625	New Visitor	7	7	3058.0	436.85714285714283
20140626	New Visitor	8	8	1489.0	186.125
20140627	New Visitor	12	12	9824.0	818.6666666666666
20140628	New Visitor	3	3	529.0	176.33333333333334
20140629	New Visitor	4	4	5427.0	1356.75
20140630	New Visitor	5	5	3285.0	657.0
20140701	New Visitor	4	4	31.0	7.75
20140702	New Visitor	10	10	6340.0	634.0
20140703	New Visitor	5	5	1738.0	347.6
20140704	New Visitor	7	7	3469.0	495.57142857142856
20140705	New Visitor	5	5	7437.0	1487.4
20140706	New Visitor	4	4	2085.0	521.25
20140707	New Visitor	9	9	2863.0	318.1111111111111
20140708	New Visitor	6	6	4188.0	698.0
20140709	New Visitor	5	5	1659.0	331.8
20140710	New Visitor	4	4	1607.0	401.75
20140711	New Visitor	8	8	6042.0	755.25
20140712	New Visitor	8	8	6185.0	773.125
20140713	New Visitor	5	5	3707.0	741.4
20140714	New Visitor	5	5	4996.0	999.2
20140715	New Visitor	8	8	6863.0	857.875
20140716	New Visitor	10	10	7511.0	751.1
20140717	New Visitor	4	4	2855.0	713.75
20140718	New Visitor	4	4	1425.0	356.25
20140719	New Visitor	2	2	3477.0	1738.5
20140720	New Visitor	10	10	3259.0	325.9
20140721	New Visitor	8	8	6389.0	798.625
20140722	New Visitor	4	4	1353.0	338.25
20140723	New Visitor	8	8	4758.0	594.75
20140724	New Visitor	7	7	2094.0	299.14285714285717
20140725	New Visitor	9	9	15754.0	1750.4444444444443
20140726	New Visitor	3	3	7829.0	2609.6666666666665
20140727	New Visitor	4	4	237.0	59.25
20140728	New Visitor	8	8	11328.0	1416.0
20140729	New Visitor	8	8	12650.0	1581.25
20140730	New Visitor	11	11	10214.0	928.5454545454545
20140731	New Visitor	5	5	1618.0	323.6
20140801	New Visitor	10	10	6130.0	613.0
20140802	New Visitor	6	6	2350.0	391.6666666666667
20140803	New Visitor	6	6	6588.0	1098.0
20140804	New Visitor	8	8	4612.0	576.5
20130812	Returning Visitor	10	6	6397.0	639.7
20130813	Returning Visitor	1600	1082	1850641.0	1156.650625
20130814	Returning Visitor	1588	1036	1782040.0	1122.191435768262
20130815	Returning Visitor	1256	792	2001936.0	1593.8980891719746
20130816	Returning Visitor	993	607	1561042.0	1572.0463242698893
20130817	Returning Visitor	743	463	1184553.0	1594.2839838492598
20130818	Returning Visitor	689	407	1057854.0	1535.3468795355589
20130819	Returning Visitor	629	389	966878.0	1537.1669316375198
20130820	Returning Visitor	637	414	853370.0	1339.6703296703297
20130821	Returning Visitor	1510	1035	1724960.0	1142.3576158940398
20130822	Returning Visitor	1506	938	2042844.0	1356.4701195219122
20130823	Returning Visitor	909	572	1246710.0	1371.5181518151815
20130824	Returning Visitor	498	341	708797.0	1423.2871485943774
20130825	Returning Visitor	579	330	786026.0	1357.5578583765111
20130826	Returning Visitor	484	323	711663.0	1470.3780991735537
20130827	Returning Visitor	462	311	548631.0	1187.512987012987
20130828	Returning Visitor	428	288	594810.0	1389.7429906542056
20130829	Returning Visitor	381	249	481977.0	1265.0314960629921
20130830	Returning Visitor	364	220	462125.0	1269.5741758241759
20130831	Returning Visitor	326	189	514264.0	1577.4969325153374
20130901	Returning Visitor	284	166	505010.0	1778.2042253521126
20130902	Returning Visitor	328	187	538381.0	1641.405487804878
20130903	Returning Visitor	288	170	411189.0	1427.7395833333333
20130904	Returning Visitor	231	148	353016.0	1528.2077922077922
20130905	Returning Visitor	236	142	365514.0	1548.7881355932204
20130906	Returning Visitor	252	150	446364.0	1771.2857142857142
20130907	Returning Visitor	202	124	284374.0	1407.7920792079208
20130908	Returning Visitor	176	109	276688.0	1572.090909090909
20130909	Returning Visitor	230	138	363710.0	1581.3478260869565
20130910	Returning Visitor	200	119	288859.0	1444.295
