date	sessions	users	newUsers	percentNewSessions	sessionDuration	avgSessionDuration
20131010	116	76	34	29.310344827586203	226836.0	1955.4827586206898
20131011	117	63	22	18.803418803418804	252774.0	2160.4615384615386
20131012	127	70	36	28.346456692913385	217264.0	1710.740157480315
20131013	123	67	25	20.32520325203252	248491.0	2020.2520325203252
20131014	123	77	39	31.70731707317073	309306.0	2514.682926829268
20131015	116	74	32	27.586206896551722	186914.0	1611.3275862068965
20131016	134	79	41	30.597014925373134	225084.0	1679.7313432835822
20131017	136	97	56	41.17647058823529	253172.0	1861.5588235294117
20131018	163	107	68	41.717791411042946	234139.0	1436.435582822086
20131019	154	112	67	43.506493506493506	203300.0	1320.1298701298701
20131020	140	96	48	34.285714285714285	199009.0	1421.4928571428572
20131021	172	114	74	43.02325581395349	272427.0	1583.8779069767443
20131022	140	79	36	25.71428571428571	230261.0	1644.7214285714285
20131023	127	71	30	23.62204724409449	238690.0	1879.4488188976377
20131024	139	73	32	23.021582733812952	192380.0	1384.0287769784172
20131025	110	59	23	20.909090909090907	144766.0	1316.0545454545454
20131026	94	63	23	24.46808510638298	149375.0	1589.095744680851
20131027	84	54	28	33.33333333333333	171510.0	2041.7857142857142
20131028	119	66	38	31.932773109243694	217640.0	1828.90756302521
20131029	84	47	18	21.428571428571427	156044.0	1857.6666666666667
20131030	99	52	17	17.17171717171717	156106.0	1576.828282828283
20131031	87	52	24	27.586206896551722	132298.0	1520.6666666666667
20131101	104	53	23	22.115384615384613	178644.0	1717.7307692307693
20131102	75	41	19	25.333333333333336	139284.0	1857.12
20131103	88	50	19	21.59090909090909	171282.0	1946.3863636363637
20131104	118	66	39	33.05084745762712	203988.0	1728.7118644067796
20131105	155	104	69	44.516129032258064	235078.0	1516.6322580645162
20131106	190	135	105	55.26315789473685	227148.0	1195.5157894736842
20131107	307	222	185	60.26058631921825	276547.0	900.8045602605863
20131108	264	159	115	43.56060606060606	299190.0	1133.2954545454545
20131109	173	113	71	41.040462427745666	194372.0	1123.5375722543354
20131110	972	807	766	78.80658436213992	663842.0	682.9650205761317
20131111	345	251	149	43.188405797101446	331742.0	961.5710144927536
20131112	243	160	86	35.390946502057616	232050.0	954.9382716049382
20131113	203	127	63	31.03448275862069	259160.0	1276.6502463054187
20131114	168	114	65	38.69047619047619	187243.0	1114.5416666666667
20131115	147	91	40	27.2108843537415	204640.0	1392.108843537415
20131116	150	109	61	40.666666666666664	142156.0	947.7066666666667
20131117	142	94	49	34.50704225352113	168375.0	1185.7394366197184
20131118	147	106	64	43.53741496598639	185866.0	1264.3945578231292
20131119	112	74	38	33.92857142857143	158038.0	1411.0535714285713
20131120	104	64	29	27.884615384615387	130474.0	1254.5576923076924
20131121	104	62	29	27.884615384615387	133080.0	1279.6153846153845
20131122	81	55	27	33.33333333333333	100311.0	1238.4074074074074
20131123	69	48	22	31.88405797101449	99021.0	1435.0869565217392
20131124	87	51	27	31.03448275862069	134254.0	1543.1494252873563
20131125	81	49	25	30.864197530864196	132765.0	1639.0740740740741
20131126	83	45	27	32.53012048192771	121321.0	1461.698795180723
20131127	109	77	49	44.95412844036697	151358.0	1388.605504587156
20131128	73	43	23	31.506849315068493	87775.0	1202.3972602739725
20131129	106	68	42	39.62264150943396	133510.0	1259.5283018867924
20131130	84	50	23	27.380952380952383	102987.0	1226.0357142857142
20131201	75	45	21	28.000000000000004	111900.0	1492.0
20131202	94	57	34	36.17021276595745	133297.0	1418.0531914893618
20131203	89	52	22	24.719101123595504	121935.0	1370.056179775281
20131204	82	48	25	30.48780487804878	125388.0	1529.121951219512
