Datsetid	Players_total	No.ofalignments	Players_active	Usable_alignments	Empty_alignments	Maxscoreperread	Readnumber
339	14	14	8	8	6	51.25	20
340	11	11	5	5	6	44.88235294117647	17
341	16	16	13	13	3	36.45	20
342	15	15	13	13	2	93.4	20
343	21	21	17	17	4	93.95	20
344	19	19	15	15	4	61.13333333333333	15
345	10	10	8	8	2	48.85	20
346	17	17	16	16	1	58.8	20
347	21	21	17	17	4	54.0	2
348	12	12	9	9	3	12.7	20
349	15	15	10	10	5	67.15384615384616	13
350	16	17	11	11	6	36.85	20
351	14	14	12	12	2	61.9	20
352	13	13	11	11	2	94.5	20
353	13	13	11	11	2	95.4	20
354	19	19	16	16	3	95.85	20
355	17	17	13	13	4	92.7	20
356	19	19	16	16	3	95.8	20
357	10	10	7	7	3	84.75	20
358	15	15	9	9	6	55.6	20
359	10	10	7	7	3	32.0	20
360	23	23	19	19	4	37.333333333333336	3
361	10	10	9	9	1	40.45	20
362	11	11	9	9	2	82.05	20
363	6	6	6	6	0	62.0	5
364	19	19	14	14	5	55.55	20
365	9	9	8	8	1	96.25	20
366	17	21	13	14	7	95.9	20
367	9	9	9	9	0	96.6	20
368	11	12	10	11	1	69.36842105263158	19
369	20	21	14	15	6	67.75	20
370	16	17	11	11	6	83.14285714285714	14
371	18	18	16	16	2	10.4	20
372	12	12	10	10	2	65.45	20
373	11	11	10	10	1	51.0	2
374	15	15	11	11	4	62.05	20
375	10	10	7	7	3	96.2	20
376	12	12	9	9	3	96.6	20
377	16	16	11	11	5	94.6	20
378	18	18	12	12	6	90.2	20
379	77	77	8	8	69	74.0	20
380	11	11	9	9	2	51.75	20
381	13	13	10	10	3	45.0	10
382	16	16	9	9	7	21.85	20
383	10	10	8	8	2	31.55	20
384	12	12	10	10	2	50.5	4
385	18	18	14	14	4	63.7	20
386	15	15	10	10	5	95.8	20
387	9	9	9	9	0	91.8	20
388	11	11	10	10	1	47.0	15
389	23	23	16	16	7	62.8	20
390	11	11	8	8	3	81.66666666666667	6
391	13	13	10	10	3	44.5	20
392	18	18	14	14	4	72.6	20
393	23	23	15	15	8	88.05	20
394	8	8	4	4	4	98.35	20
395	21	21	17	17	4	97.7	20
396	11	11	10	10	1	98.45	20
397	11	11	11	11	0	99.6	20
398	11	11	8	8	3	99.1	20
399	12	12	12	12	0	99.2	20
400	18	26	15	23	3	97.25	20
401	19	19	18	18	1	70.35	20
402	19	19	15	15	4	42.85	20
403	24	24	21	21	3	40.0	14
404	18	18	13	13	5	8.25	20
405	15	15	12	12	3	91.55	20
406	20	20	17	17	3	89.5	20
407	15	15	14	14	1	90.5	20
408	15	15	11	11	4	85.4375	16
409	16	16	13	13	3	27.55	20
410	14	15	13	14	1	25.0	4
411	18	18	15	15	3	52.6	20
412	23	23	19	19	4	72.4	20
413	15	15	13	13	2	86.3	20
414	14	15	9	9	6	87.45	20
415	14	14	14	14	0	69.3	20
416	9	9	7	7	2	55.0	5
417	18	18	15	15	3	63.9	20
418	12	12	10	10	2	95.4	20
419	13	13	11	11	2	70.95	20
420	25	25	14	14	11	47.23529411764706	17
421	18	18	16	16	2	47.05	20
422	12	12	10	10	2	85.0	20
423	13	13	9	9	4	87.6	20
424	16	16	15	15	1	88.8	20
425	15	15	12	12	3	88.75	20
426	18	18	14	14	4	65.95	20
427	16	16	10	10	6	36.714285714285715	7
428	24	24	18	18	6	23.2	20
429	29	29	28	28	1	97.0	3
430	17	17	11	11	6	41.1	20
431	18	18	14	14	4	96.2	20
432	10	10	8	8	2	96.6	20
433	12	12	8	8	4	94.2	20
434	15	15	13	13	2	86.5	20
435	14	14	12	12	2	44.529411764705884	17
436	13	13	13	13	0	23.7	20
437	21	21	20	20	1	67.85	20
438	14	14	13	13	1	94.15	20
439	16	16	15	15	1	87.05	20
440	14	14	13	13	1	64.35	20
441	13	13	8	8	5	39.05	20
442	12	12	9	9	3	43.9375	16
443	42	42	23	23	19	79.4	20
444	21	21	18	18	3	95.8	20
445	16	16	14	14	2	97.0	20
446	7	8	6	7	1	96.95	20
447	12	12	8	8	4	90.75	20
448	14	14	13	13	1	97.7	20
449	22	22	16	16	6	97.5	20
450	11	11	8	8	3	97.1	20
451	16	16	13	13	3	96.9	20
452	13	13	12	12	1	64.45	20
453	13	14	10	11	3	41.7	20
454	16	16	9	9	7	28.6	5
455	14	14	12	12	2	55.9	20
456	14	14	14	14	0	81.0	6
457	12	12	9	9	3	23.933333333333334	15
458	16	16	13	13	3	41.0	20
459	11	12	11	12	0	37.25	20
460	18	18	16	16	2	40.95	20
461	18	18	13	13	5	43.6	20
462	24	24	14	14	10	44.5	20
463	8	8	5	5	3	57.75	20
464	16	16	11	11	5	67.65	20
465	18	18	10	10	8	75.45	20
466	10	10	7	7	3	83.85	20
467	14	14	12	12	2	88.75	20
468	16	17	12	13	4	88.25	20
469	9	9	7	7	2	79.3	20
470	9	9	5	5	4	86.55	20
471	15	16	12	13	3	87.85	20
472	13	13	10	10	3	80.55	20
473	18	18	13	13	5	87.15	20
474	19	19	16	16	3	82.6	20
475	18	18	16	16	2	74.3	20
476	21	22	11	12	10	85.3	20
477	16	16	12	12	4	86.3	20
478	16	16	13	13	3	89.0	20
479	10	10	9	9	1	89.0	20
480	19	19	16	16	3	89.0	20
481	11	11	11	11	0	89.0	20
482	24	24	20	20	4	88.35	20
483	15	15	11	11	4	88.5	20
484	9	9	6	6	3	65.9	20
485	14	14	10	10	4	51.0	20
486	11	11	10	10	1	45.7	20
487	17	17	11	11	6	47.5	20
488	12	12	7	7	5	47.6	20
489	11	11	9	9	2	36.15	20
490	14	14	10	10	4	39.9375	16
491	15	15	13	13	2	57.0	20
492	16	16	13	13	3	96.6	20
493	8	8	6	6	2	83.375	8
494	12	12	11	11	1	75.0	20
495	13	13	11	11	2	84.15	20
496	14	17	11	14	3	67.5	10
497	19	19	17	17	2	54.1	20
498	22	22	18	18	4	86.2	20
499	11	11	10	10	1	88.6	20
500	15	15	11	11	4	84.65	20
501	13	13	7	7	6	52.30769230769231	13
502	11	11	10	10	1	57.9	20
503	15	15	11	11	4	85.75	20
504	8	8	7	7	1	95.7	20
505	14	14	12	12	2	53.333333333333336	15
506	16	16	11	11	5	67.05	20
507	13	13	11	11	2	89.0	20
508	12	12	10	10	2	88.2	20
509	20	20	16	16	4	89.0	20
510	14	14	12	12	2	66.75	20
511	8	8	8	8	0	54.9	20
512	10	10	8	8	2	53.0	4
513	17	17	13	13	4	33.7	20
514	9	9	8	8	1	73.4	20
515	15	15	10	10	5	40.714285714285715	7
516	19	19	12	12	7	53.85	20
517	13	13	13	13	0	90.15	20
518	12	12	11	11	1	82.35	20
519	19	19	14	14	5	53.6	20
520	14	14	11	11	3	27.9	20
521	14	14	11	11	3	77.33333333333333	6
522	27	27	21	21	6	44.35	20
523	17	17	13	13	4	84.85	20
524	14	14	14	14	0	75.25	20
525	17	17	14	14	3	51.25	20
526	17	17	14	14	3	42.0	8
527	10	10	7	7	3	56.9	20
528	16	16	14	14	2	86.45	20
529	16	16	12	12	4	87.65	20
530	9	9	7	7	2	85.6923076923077	13
531	16	16	13	13	3	62.05	20
532	19	21	13	14	7	94.65	20
533	21	21	18	18	3	96.2	20
534	11	11	10	10	1	82.5	20
535	18	18	16	16	2	33.86666666666667	15
536	11	11	8	8	3	43.1	20
537	19	19	16	16	3	83.25	20
538	17	17	15	15	2	93.2	20
539	17	17	17	17	0	91.75	20
540	14	14	13	13	1	96.6	20
541	18	18	15	15	3	54.94736842105263	19
542	12	12	9	9	3	83.65	20
543	14	14	11	11	3	85.0	20
544	13	13	10	10	3	71.0	20
545	16	16	13	13	3	37.714285714285715	7
546	15	15	13	13	2	83.75	20
547	11	11	9	9	2	71.2	20
548	10	10	10	10	0	74.05	20
549	14	14	6	6	8	40.07692307692308	13
550	15	16	11	11	5	72.0	20
551	20	20	15	15	5	88.2	20
552	14	14	11	11	3	52.35294117647059	17
553	12	12	8	8	4	58.2	20
554	15	15	12	12	3	59.0	20
555	11	11	7	7	4	55.8	20
556	12	12	9	9	3	59.5	20
557	15	15	13	13	2	99.85	20
558	18	18	13	13	5	99.35	20
559	8	8	8	8	0	94.95	20
560	16	16	13	13	3	98.0	20
561	17	18	15	16	2	85.0	20
562	11	11	9	9	2	94.2	20
563	16	16	12	12	4	98.35	20
564	6	6	6	6	0	99.75	20
565	17	17	15	15	2	98.95	20
566	16	16	15	15	1	82.6	20
567	11	11	10	10	1	70.85	20
568	17	17	13	13	4	63.0	20
569	19	19	12	12	7	62.6	20
570	17	19	11	11	8	49.46666666666667	15
571	19	19	18	18	1	85.41176470588235	17
572	15	15	10	10	5	53.35	20
573	14	14	11	11	3	55.55	20
574	18	18	8	8	10	79.4	20
575	18	18	16	16	2	97.0	20
576	10	10	9	9	1	96.25	20
577	13	13	12	12	1	78.85	20
578	15	15	13	13	2	54.2	20
579	12	12	11	11	1	41.46153846153846	13
580	12	12	6	6	6	46.0	20
581	16	16	13	13	3	69.3	20
582	13	13	10	10	3	85.05	20
583	15	15	11	11	4	87.45	20
584	15	15	11	11	4	88.6	20
585	26	27	20	20	7	88.6	20
586	16	16	14	14	2	88.6	20
587	12	12	8	8	4	86.6	20
588	7	7	6	6	1	85.05	20
589	17	17	14	14	3	83.6	20
590	9	9	7	7	2	41.35	20
591	15	15	12	12	3	45.0	7
592	7	7	4	4	3	31.6	20
593	17	17	10	10	7	59.85	20
594	16	16	13	13	3	72.2	20
595	7	7	5	5	2	74.5	20
596	14	14	12	12	2	39.75	16
597	12	12	10	10	2	54.35	20
598	13	13	11	11	2	91.75	20
599	12	12	10	10	2	73.65	20
600	11	11	7	7	4	34.0	5
601	16	16	11	11	5	53.0	20
602	16	16	13	13	3	40.05	20
603	12	12	11	11	1	44.142857142857146	7
604	12	12	8	8	4	44.6	20
605	16	16	12	12	4	88.25	20
606	22	22	17	17	5	85.55	20
607	13	13	11	11	2	58.2	10
608	13	13	10	10	3	56.05	20
609	18	18	13	13	5	68.2	20
610	16	18	13	13	5	74.35	20
611	14	14	10	10	4	47.0	5
612	17	17	14	14	3	69.85	20
613	14	14	10	10	4	33.0	2
614	15	16	11	12	4	40.6	20
615	14	14	11	11	3	82.45	20
616	13	13	11	11	2	76.15	20
617	12	12	12	12	0	40.2	10
618	13	13	11	11	2	52.6	20
619	12	12	10	10	2	66.7	20
620	18	18	13	13	5	68.95	20
621	9	9	9	9	0	72.2	20
622	15	15	11	11	4	72.2	20
623	9	9	9	9	0	70.05	20
624	21	21	16	16	5	42.05	20
625	12	12	12	12	0	35.72727272727273	11
626	17	37	15	35	2	1.75	20
627	7	7	6	6	1	52.0	20
628	10	10	8	8	2	52.4	20
629	25	166	19	160	6	51.6	20
630	15	15	11	11	4	51.6	20
631	15	15	9	9	6	49.35	20
632	17	17	13	13	4	46.6	20
633	15	15	13	13	2	33.65	20
634	13	13	9	9	4	20.0	20
635	16	16	14	14	2	32.5	20
636	11	11	7	7	4	20.0	20
637	11	11	10	10	1	25.0	20
638	20	20	18	18	2	30.0	20
639	14	14	11	11	3	14.35	20
640	20	20	13	13	7	30.0	20
641	20	20	18	18	2	25.0	20
642	18	18	18	18	0	17.5	20
643	14	14	11	11	3	22.5	20
644	17	17	14	14	3	22.1	20
645	20	20	17	17	3	30.0	20
646	18	18	13	13	5	20.0	20
647	17	17	14	14	3	25.0	20
648	14	14	13	13	1	24.6	20
649	12	12	9	9	3	25.0	20
650	13	13	12	12	1	40.0	20
651	11	11	11	11	0	15.0	20
